Type,Description,Reference,Format,Valid COTs,elements_len
1,Single point information,M_SP_NA_1,SIQ,2-3-5-11-20-20+G,1
2,Single point information with time tag,M_SP_TA_1,SIQ+CP24Time2a,3-5-11-12,4
3,Double point information,M_DP_NA_1,DIQ,2-3-5-11-12-20-20+G,1
4,Double point information with time tag,M_DP_TA_1,DIQ+CP24Time2a,3-5-11-12,4
5,Step position information,M_ST_NA_1,VTI + QDS,2-3-5-11-12-20-20+G,2
6,Step position information with time tag,M_ST_TA_1,VTI+QDS+CP24Time2a,2-3-5-11-12,5
7,Bit string of 32 bit,M_BO_NA_1,BSI+QDS,2-3-5-11-12-20-20+G,5
8,Bit string of 32 bit with time tag,M_BO_TA_1,BSI + QDS + CP24Time2a,3-5,8
9,Measured value- normalized value,M_ME_NA_1,NVA + QDS,2-3-5-11-12-20-20+G,3
10,Measured value- normalized value with time tag,M_ME_TA_1,NVA + QDS + CP24Time2a,3-5,6
11,Measured value- scaled value,M_ME_NB_1,SVA + QDS,2-3-5-11-12-20-20+G,3
12,Measured value- scaled value with time tag,M_ME_TB_1,SVA + QDS + CP24Time2a,3-5,6
13,Measured value- short floating point value,M_ME_NC_1,IEEE STD 754+QDS,2-3-5-11-12-20-20+G,5
14,Measured value- short floating point value with time tag,M_ME_TC_1,IEEE STD 754+QDS + CP24Time2a,2-3-5-11-12-20-20+G,8
15,Integrated totals,M_IT_NA_1,BCR,2-37-37+G,5
16,Integrated totals with time tag,M_IT_TA_1,BCR + CP24Time2a,3-37-37+G,8
17,Event of protection equipment with time tag,M_EP_TA_1,CP16Time2a + CP24Time2a,3,5
18,Packed start events of protection equipment with time tag,M_EP_TB_1,SEP + QDP +C P16Time2a + CP24Time2a,3,7
19,Packed output circuit information of protection equipment with time tag,M_EP_TC_1,OCl+QDP+CP16Time2a+CP24Time2a,3,7
20,Packed single-point information with status change detection,M_PS_NA_1,SCD+QDS,2-3-5-11-12-20-20+G,5
21,Measured value- normalized value without quality descriptor,M_ME_ND_1,NVA,1-2-3-5-11-12-20-20+G,2
30,Single point information with time tag CP56Time2a,M_SP_TB_1,SIQ+CP56Time2a,3-5-11-12,8
31,Double point information with time tag CP56Time2a,M_DP_TB_1,DIQ+CP56Time2a,3-5-11-12,8
32,Step position information with time tag  CP56Time2a,M_ST_TB_1,VTI + QDS +  CP56Time2a,2-3-5-11-12,9
33,Bit string of 32 bit with time tag CP56Time 2a,M_BO_TB_1,BSI + QDS + CP56Time2a,3-5,12
34,Measured value- normalized value with time tag CP56Time2a,M_ME_TD_1,NVA + QDS + CP56Time2a,3-5,10
35,Measured value- scaled value with time tag CP56Time2a,M_ME_TE_1,SVA + QDS + CP56Time2a,3-5,10
36,Measured value- short floating point value with time tag CP56Time2a,M_ME_TF_1,IEEE STD 754+QDS + CP56Time2a,2-3-5-11-12-20-20+G,12
37,Integrated totals with time tag CP56Time2a,M_IT_TB_1,BCR + CP56Time2a,3-37-37+G,12
38,Event of protection equipment with time tag CP56Time2a,M_EP_TD_1,CP16Time2a + CP56Time2a,3,9
39,Packed start events of protection equipment with time tag CP56time2a,M_EP_TE_1,SEP + QDP + CP16Time2a + CP56Time2a,3,11
40,Packed output circuit information of protection equipment with time tag CP56Time2a,M_EP_TF_1,OCl+ QDP + CP16Time2a + CP56Time2a,3 ,11
45,Single command,C_SC_NA_1,SCO,6-7-8-9-10-44-45-46-47,1
46,Double command,C_DC_NA_1,DCO,6-7-8-9-10-44-45-46-47,1
47,Regulating step command,C_RC_NA_1,RCO,6-7-8-9-10-44-45-46-47,1
48,Setpoint command- normalized value,C_SE_NA_1,NVA + QOS,6-7-8-9-10-44-45-46-47,3
